Table 1
2019 Pontevedra ITU Duathlon World Championships,,,,,,,,,,,,,
Sprint age groups - Unofficial results by category,,,,,,,,,,,,,
,,,,,,,,,,,,,
16-19 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
20,1409,Carlo  Croce ,,,,ITA,,21:21,0:54,39:08,1:43,12:35,1:15:38
21,1406,Derek Todhunter,,,,GBR,,22:02,1:15,39:08,2:11,12:21,1:16:54
22,1398,Peter Burford,,,,GBR,,21:52,1:23,40:25,2:02,12:11,1:17:52
23,1413,Louis Almekinders,,,,USA,,22:46,1:03,39:56,1:52,12:29,1:18:05
24,1419,David Lasorsa,,,,USA,,23:00,1:03,39:54,2:00,12:25,1:18:20
25,1393,Joaquin Savall Ibiza,,,,ESP,,22:01,1:40,41:43,2:15,12:13,1:19:51
26,1395,Alastair Benbow,,,,GBR,,22:38,1:12,43:52,1:31,12:11,1:21:23
27,1400,David Colley,,,,GBR,,23:17,1:19,43:04,2:01,12:01,1:21:40
28,1415,Dave Callon,,,,USA,,21:42,0:58,45:01,1:49,12:52,1:22:20
29,1416,Gerardo Corbato,,,,USA,,24:06,1:12,42:11,2:08,13:52,1:23:27
30,1399,Peter Clarke,,,,GBR,,26:25,1:48,38:53,2:22,14:35,1:24:02
31,1404,Jeff Parris,,,,GBR,,25:24,1:35,42:37,2:22,14:36,1:26:32
32,1407,Michael Gibbons,,,,IRL,,24:42,1:23,45:48,2:35,14:28,1:28:55
33,1411,Sigfredo Belmares Marin ,,,,MEX,,24:40,1:06,47:39,2:14,14:40,1:30:18
34,1414,Randall Bechtolt,,,,USA,,26:29,1:21,45:43,2:05,14:43,1:30:19
35,1421,Scott Wilson,,,,USA,,27:56,1:09,45:29,2:18,14:40,1:31:30
,,,,,,,,,,,,,
65-69 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1729,Jane Holmes,,,,GBR,,23:12,1:13,40:09,1:49,13:01,1:19:21
2,1737,Diane Travis,,,,USA,,24:27,1:15,43:15,2:03,13:41,1:24:39
3,1736,Cynthia Lucking,,,,USA,,24:20,1:56,51:14,2:47,13:07,1:33:22
4,1734,Ruth King,,,,USA,,27:56,1:50,47:49,2:53,14:54,1:35:20
5,1731,Susan Watson,,,,GBR,,28:45,2:12,47:44,2:46,15:55,1:37:20
6,1733,Jerianne Davis,,,,USA,,27:44,1:44,51:01,2:15,14:43,1:37:25
7,1730,Bernadette Rudman,,,,GBR,,28:20,1:35,50:36,1:59,15:43,1:38:11
8,1738,Doris Benson,,,,CAN,,29:15,1:50,52:34,1:56,14:50,1:40:23
9,1732,Sally Almekinders,,,,USA,,33:49,1:17,52:01,2:09,18:07,1:47:21
10,1727,Sue Barnes,,,,GBR,,31:54,2:40,56:17,3:09,18:05,1:52:02
11,1728,Helene Hill,,,,GBR,,31:27,2:04,59:14,3:06,17:07,1:52:56
12,1735,Joan Kirkwood,,,,USA,,32:26,2:17,57:21,3:10,17:52,1:53:04
,,,,,,,,,,,,,
65-69 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1430,Francisco Morales Tornel,,,,ESP,,20:24,0:51,34:25,1:44,10:45,1:08:07
2,1431,Fermín Rodríguez García,,,,ESP,,9:49,12:05,36:19,1:45,11:04,1:11:00
3,1455,Greg Salter,,,,AUS,,20:59,1:08,36:04,1:38,11:26,1:11:13
4,1437,John Peacock,,,,GBR,,21:11,1:10,36:36,1:39,11:29,1:12:02
5,1429,Juan Vicente Izquierdo Rey,,,,ESP,,21:00,0:53,37:03,1:37,11:32,1:12:03
6,1449,John Mccarthy,,,,USA,,22:04,0:57,37:53,1:56,12:11,1:14:59
7,1442,Günther Theer,,,,GER,,22:31,1:04,37:54,1:34,12:12,1:15:13
8,1456,Hubert Fussi,,,,AUT,,21:10,1:53,38:28,2:17,11:39,1:15:24
9,1459,Tony Hyland,,,,CAN,,21:34,1:09,39:43,1:54,12:28,1:16:46
10,1428,Rafael Cored Penilla,,,,ESP,,21:04,1:12,41:21,1:53,11:51,1:17:20
11,1435,James Howard Jeffrey,,,,GBR,,22:40,1:20,39:22,2:03,12:18,1:17:40
12,1432,Patrick Eveillard,,,,FRA,,22:37,1:12,39:03,2:04,13:06,1:18:00
13,1457,Dirk Covent,,,,BEL,,22:32,1:07,39:45,2:01,12:41,1:18:05
14,1440,David Walker,,,,GBR,,23:43,0:57,38:39,1:41,13:10,1:18:09
15,1445,Ivar Mjåland,,,,NOR,,22:54,1:23,39:11,2:13,12:38,1:18:17
16,1460,Dan Mccarthy,,,,CAN,,22:30,1:34,39:54,1:55,12:30,1:18:21
17,1436,Anthony Metcalfe,,,,GBR,,21:21,1:29,42:32,1:52,11:35,1:18:47
18,1438,Richard Smith,,,,GBR,,22:35,1:19,40:18,2:07,12:36,1:18:52
19,1434,Richard Hardy,,,,GBR,,24:26,0:59,39:48,1:49,13:41,1:20:41
20,1454,Rod Rose,,,,AUS,,22:35,1:07,44:26,2:24,12:51,1:23:21
21,1433,Michael Cook,,,,GBR,,24:48,1:08,43:48,1:45,12:54,1:24:23
22,1448,Joy Len,,,,USA,,24:54,1:59,42:55,2:51,13:47,1:26:25
23,1439,Paul Turner,,,,GBR,,25:35,1:03,43:33,1:51,14:45,1:26:45
24,1458,Renald Desharnais,,,,CAN,,25:38,2:14,45:39,2:40,13:41,1:29:50
25,1462,Ward King,,,,USA,,29:42,1:23,46:01,2:36,13:48,1:33:28
26,1453,Greg Lebeter,,,,AUS,,28:32,1:48,45:06,2:53,15:59,1:34:15
27,1450,Greg Seaton,,,,USA,,26:46,2:02,50:22,3:04,14:58,1:37:11
28,1461,Jim Ransom,,,,CAN,,27:24,1:56,50:23,2:41,15:16,1:37:39
29,1447,David Johns,,,,USA,,28:58,2:05,49:02,2:36,16:25,1:39:03
30,1446,James Graves,,,,USA,,17:38,20:25,51:54,4:03,19:01,1:53:00
,1452,Keith Woodward,,,,USA,,21:57,1:02,1:05:25,6:29, - , - 
,,,,,,,,,,,,,
70-74 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1742,Lucia Soranzo,,,,ITA,,24:21,1:15,40:58,1:55,13:30,1:21:56
2,1741,Barbara Walton,,,,GBR,,25:43,1:37,46:17,1:54,13:28,1:28:57
3,1744,Dawn Werneck,,,,BRA,,30:45,2:42,53:45,2:41,16:49,1:46:40
4,1743,Ruth Hamilton,,,,USA,,33:51,1:45,54:25,2:57,20:09,1:53:04
,,,,,,,,,,,,,
70-74 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1465,Serafin Torres Terresano,,,,ESP,,21:25,0:57,36:30,1:39,12:00,1:12:30
2,1467,Mick Anglim,,,,GBR,,23:05,0:58,37:27,1:37,12:41,1:15:46
3,1466,Gines Vivancos Saez,,,,ESP,,24:00,1:11,38:14,2:02,13:01,1:18:26
4,1478,Bessin Gilbert,,,,CAN,,23:59,1:10,38:14,1:55,13:37,1:18:54
5,1469,Andrew Rennie,,,,GBR,,22:47,1:34,41:04,2:10,12:45,1:20:18
6,1470,John Shirley,,,,GBR,,25:45,1:24,42:14,2:06,14:52,1:26:19
7,1468,Hugh Mckenna,,,,GBR,,25:31,1:32,43:25,2:18,13:53,1:26:37
8,1472,Larry Feigenbaum,,,,USA,,24:25,1:12,46:46,2:01,13:19,1:27:41
9,1475,Richard Poole,,,,USA,,25:32,1:36,44:52,2:26,13:44,1:28:08
10,1477,Edgardo Jose Puet,,,,ARG,,24:08,1:12,48:21,2:06,12:59,1:28:45
11,1473,Wolf Hillesheim,,,,USA,,26:34,1:07,48:12,2:11,14:54,1:32:55
12,1474,Larry Mayse,,,,USA,,26:53,1:52,47:22,2:59,14:52,1:33:57
13,1471,Larry Betten,,,,USA,,29:43,1:41,54:27,3:34,17:03,1:46:26
14,1476,Chuck Wissinger,,,,USA,,54:12,3:05,1:30:05,4:56,31:28,3:03:44
,,,,,,,,,,,,,
75-79 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1746,Ellen Demsky,,,,USA,,34:03,3:01,1:11:52,3:31,18:34,2:10:59
,,,,,,,,,,,,,
75-79 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1486,Carlos Leite,,,,POR,,22:16,1:30,40:00,1:56,11:45,1:17:25
2,1483,Olaf Ellefsen,,,,NOR,,24:07,1:07,42:04,1:56,13:15,1:22:28
3,1484,John Brugh,,,,NZL,,24:14,1:47,41:29,2:30,14:14,1:24:12
4,1480,Jean Claude Pesenti,,,,FRA,,25:47,1:13,42:23,1:57,14:15,1:25:33
5,1488,Bill Arnerich,,,,USA,,25:14,1:15,44:03,2:17,14:38,1:27:25
6,1482,Brian Stephens,,,,GBR,,28:35,1:24,47:05,2:09,15:33,1:34:43
7,1481,David Gilbert,,,,GBR,,28:01,1:15,48:07,2:17,16:35,1:36:13
8,1490,Larry Nelson,,,,USA,,30:17,2:16,50:57,2:58,16:23,1:42:49
9,1489,Kenneth Lewis,,,,USA,,36:20,2:38,50:56,4:02,17:06,1:51:00
10,1485,Francisco Cipriano,,,,POR,,34:17,1:59,58:29,2:22,19:21,1:56:27
,,,,,,,,,,,,,
80-84 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1747,Frieda Metz,,,,GER,,35:20,2:14,49:33,2:50,19:20,1:49:16
,,,,,,,,,,,,,
80-84 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1495,Lothar Bathe,,,,GER,,26:58,1:09,44:23,2:01,14:51,1:29:20
2,1494,George Black,,,,GBR,,26:02,1:36,46:45,2:34,14:03,1:30:59
3,1499,Heiko Schaefer,,,,AUS,,27:59,1:19,47:28,2:04,15:19,1:34:07
4,1497,Kenneth Fleischhacker,,,,USA,,29:41,1:20,46:11,2:19,16:39,1:36:08
5,1496,Garth Barfoot,,,,NZL,,38:31,2:43,53:30,4:01,19:14,1:57:57
6,1500,Jose Inacio Werneck,,,,BRA,,18:17,21:37,57:28,3:44,18:35,1:59:39
7,1498,James Girand,,,,USA,,38:47,2:35,55:33,3:38,20:48,2:01:20
,,,,,,,,,,,,,
85-89 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1503,Ray Bennet,,,,NZL,,44:35,3:45,1:01:15,4:35,24:43,2:18:52
2,1502,Rubén Nicieza Rodriguez,,,,ESP,,50:08,3:09,1:06:41,4:43,33:10,2:37:49
3,1504,Wayne Fong,,,,USA,,48:05,3:01,1:23:28,4:07,25:42,2:44:20
,,,,,,,,,,,,,
Sprint Open Female,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1807,Salgado Albores Maite,,,,,,23:13,1:10,45:00,1:33,12:21,1:23:14
,,,,,,,,,,,,,
Sprint Open Male,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1801,GONZALEZ RUIZ Jeronimo,,,,,,17:08,0:48,36:14,1:16,9:29,1:04:54
2,1501,MonteAgudo Rodriguez Sergio,,,,,,18:52,1:31,40:10,1:33,10:09,1:12:14
3,1804,Lancaster Malcolm,,,,,,9:40,12:21,37:30,1:41,11:29,1:12:38
4,1802,PRADA CAO IVAN,,,,,,20:35,1:30,43:47,1:46,10:41,1:18:17
5,1803,Serna Garza Hernan,,,,,,21:21,1:19,42:33,2:10,12:02,1:19:25
6,1805,CORREDOIRA AGAPITO,,,,,,23:03,1:10,45:47,2:01,12:25,1:24:24
,,,,,,,,,,,,,
Measured and Ranked By EvoChip Timing Team,,,,,,,,,,,,,
Created:  2019.04.28. 11:04:59,,,,,,,,,,,,,
